3000.0000,1323.2924
3005.0815,1322.5062
3009.9740,1322.8002
3014.0985,1321.2160
3017.3957,1319.5853
3020.2494,1318.0937
3023.5043,1315.7689
3027.3915,1313.7913
3031.8341,1312.1606
3036.2534,1311.3970
3042.0752,1311.1925
3048.3462,1309.4860
3054.6172,1307.7794
3059.5558,1303.7664
3064.4945,1299.7535
3069.8367,1297.3428
3075.6621,1296.0078
3081.4875,1294.6728
3086.4203,1292.7422
3091.9529,1290.3700
3097.0798,1288.0114
3102.4486,1286.3667
3107.2978,1284.2893
3111.5409,1282.4715
3117.2560,1280.0478
3124.6164,1277.2778
3131.9768,1274.7676
3140.9825,1273.1229
3151.2871,1272.0842
3156.2849,1271.9040
3167.1802,1272.1775
3174.1125,1272.3516
3181.7269,1272.5428
3188.9104,1271.2580
3197.3435,1269.7497
3206.2472,1268.1572
3213.0063,1267.2174
3219.1484,1267.4546
3224.8277,1264.8871
3230.0051,1263.2297
3235.1040,1258.5268
3244.4097,1256.1764
3254.9307,1253.5191
3260.3196,1252.1580
3268.6869,1250.6696
3277.5291,1249.0967
3287.0091,1247.4103
3294.3483,1247.9463
3303.5650,1248.6194
3310.2325,1250.2721
3316.6348,1249.3840
3325.4147,1246.7909
3334.5937,1244.7962
3343.5732,1244.1978
3354.3485,1242.8015
3364.9243,1242.4025
3375.8993,1241.0062
3387.0737,1240.6073
3398.2482,1238.4131
3411.0190,1238.2137
3419.9984,1238.0142
3429.2671,1235.8073
3438.0431,1234.4757
3444.2333,1232.5958
3451.1287,1231.3426
3458.9927,1230.1630
3466.8284,1230.1630
3474.8992,1229.5364
3481.3245,1228.5964
3489.2385,1228.2831
3497.0743,1228.2048
3505.1450,1227.9698
3510.4370,1227.9446
3520.2411,1225.6317
3528.9350,1223.6692
3540.1450,1221.1389
3549.7400,1218.1764
3560.5625,1218.2523
3570.7496,1217.2480
3580.9785,1216.2394
3592.4914,1215.1043
3604.2906,1215.5692
3617.0105,1216.4614
3630.2383,1216.4341
3640.5077,1216.2814
3654.5141,1217.4938
3663.3877,1216.7327
3671.2653,1216.4777
3680.5156,1215.2997
3689.8937,1211.9734
3699.6930,1208.8458
