0	0
0.02	-0.0000004
0.04	-0.0001373
0.06	0.0000231
0.08	0.0002096
0.1	0.0001638
0.12	-0.0000543
0.14	-0.0001451
0.16	0.0000173
0.18	0.0002074
0.2	0.0001608
0.22	-0.0000607
0.24	-0.0001522
0.26	0.0000125
0.28	0.0002052
0.3	0.0001577
0.32	-0.0000665
0.34	-0.000159
0.36	0.0000081
0.38	0.0002029
0.4	0.0001548
0.42	-0.0000724
0.44	-0.0001655
0.46	0.0000038
0.48	0.000201
0.5	0.0001518
0.52	-0.0000781
0.54	-0.0001722
0.56	-0.0000004
0.58	0.0001993
0.6	0.0001491
0.62	-0.0000834
0.64	-0.0001783
0.66	-0.0000041
0.68	0.0001979
0.7	0.0001469
0.72	-0.0000888
0.74	-0.0001845
0.76	-0.0000077
0.78	0.0001965
0.8	0.0001447
0.82	-0.0000941
0.84	-0.0001905
0.86	-0.0000112
0.88	0.0001956
0.9	0.0001425
0.92	-0.0000996
0.94	-0.0001969
0.96	-0.0000151
0.98	0.0001947
1	0.0001409
1.02	-0.0001039
1.04	-0.000202
1.06	-0.0000176
1.08	0.0001943
1.1	0.0001392
1.12	-0.0001088
1.14	-0.0002078
1.16	-0.0000204
1.18	0.0001939
1.2	0.0001377
1.22	-0.0001136
1.24	-0.0002132
1.26	-0.0000231
1.28	0.0001939
1.3	0.0001363
1.32	-0.0001182
1.34	-0.0002187
1.36	-0.0000255
1.38	0.000194
1.4	0.0001353
1.42	-0.0001229
1.44	-0.0002239
1.46	-0.0000278
1.48	0.0001946
1.5	0.0001342
1.52	-0.0001272
1.54	-0.0002291
1.56	-0.0000296
1.58	0.0001952
1.6	0.0001335
1.62	-0.0001317
1.64	-0.000234
1.66	-0.0000314
1.68	0.0001962
1.7	0.0001328
1.72	-0.0001359
1.74	-0.0002389
1.76	-0.0000327
1.78	0.0001974
1.8	0.0001325
1.82	-0.0001401
1.84	-0.0002435
1.86	-0.0000341
1.88	0.000199
1.9	0.0001321
1.92	-0.0001441
1.94	-0.0002482
1.96	-0.0000349
1.98	0.0002007
2	0.0001321
2.02	-0.0001483
2.04	-0.0002525
2.06	-0.0000357
2.08	0.0002028
2.1	0.0001092
2.12	-0.0001974
2.14	-0.0003243
2.16	-0.000123
2.18	0.0001017
2.2	0.0000435
2.22	-0.0002368
2.24	-0.0003099
2.26	-0.0000536
2.28	0.0002417
2.3	0.0002431
2.32	0.0000452
2.34	0.0000559
2.36	0.0004166
2.38	0.0008034
2.4	0.0010386
2.42	0.0010948
2.44	0.0013807
2.46	0.0020597
2.48	0.002876
2.5	0.0034837
2.52	0.0038751
2.54	0.0044754
2.56	0.0055326
2.58	0.006579
2.6	0.0074345
2.62	0.0080573
2.64	0.0089005
2.66	0.0100393
2.68	0.0111198
2.7	0.0119767
2.72	0.0125519
2.74	0.0132582
2.76	0.0142227
2.78	0.0151528
2.8	0.0157572
2.82	0.015973
2.84	0.0162728
2.86	0.0167844
2.88	0.0171626
2.9	0.0171211
2.92	0.0166871
2.94	0.0162886
2.96	0.0160466
2.98	0.0156466
3	0.0148165
3.02	0.0135775
3.04	0.0123975
3.06	0.0114008
3.08	0.0103057
3.1	0.0086975
3.12	0.0066442
3.14	0.004736
3.16	0.0029904
3.18	0.001052
3.2	-0.0013038
3.22	-0.0041637
3.24	-0.0067714
3.26	-0.0089573
3.28	-0.0110598
3.3	-0.01373
3.32	-0.0166254
3.34	-0.0191773
3.36	-0.0212542
3.38	-0.0232956
3.4	-0.0255819
3.42	-0.0280398
3.44	-0.0300298
3.46	-0.0314177
3.48	-0.0325467
3.5	-0.0338884
3.52	-0.0352283
3.54	-0.0359847
3.56	-0.0360985
3.58	-0.0358639
3.6	-0.0356511
3.62	-0.0354782
3.64	-0.0348075
3.66	-0.033495
3.68	-0.0320272
3.7	-0.0305711
3.72	-0.0289503
3.74	-0.0270218
3.76	-0.0246466
3.78	-0.0220768
3.8	-0.0197483
3.82	-0.0174891
3.84	-0.014923
3.86	-0.0121428
3.88	-0.0093098
3.9	-0.0067066
3.92	-0.0043128
3.94	-0.0016871
3.96	0.0011482
3.98	0.0034022
4	0.0051132
4.02	0.0065974
4.04	0.0081954
4.06	0.0098255
4.08	0.0115834
4.1	0.0127414
4.12	0.0136184
4.14	0.0149841
4.16	0.0160574
4.18	0.0157646
4.2	0.0147338
4.22	0.0138517
4.24	0.0134427
4.26	0.0131891
4.28	0.0138196
4.3	0.0149978
4.32	0.0154686
4.34	0.015373
4.36	0.014197
4.38	0.0115553
4.4	0.0080381
4.42	0.0054737
4.44	0.0046787
4.46	0.0039461
4.48	0.0037152
4.5	0.003266
4.52	0.0020693
4.54	0.0035916
4.56	0.005061
4.58	0.001726
4.6	-0.0019019
4.62	-0.0044054
4.64	-0.0064317
4.66	-0.0047298
4.68	-0.0022012
4.7	-0.0033578
4.72	-0.0025962
4.74	0.0044309
4.76	0.014272
4.78	0.0169972
4.8	0.0084559
4.82	-0.002244
4.84	-0.0089962
4.86	-0.0111015
4.88	-0.0058111
4.9	0.0025091
4.92	0.0023723
4.94	-0.0009957
4.96	0.0009129
4.98	0.0085378
5	0.0206944
5.02	0.0298247
5.04	0.0259299
5.06	0.0162725
5.08	0.0091693
5.1	0.0037189
5.12	0.0012779
5.14	0.0054497
5.16	0.0112801
5.18	0.0116488
5.2	0.0111047
5.22	0.0148649
5.24	0.0140749
5.26	0.0132587
5.28	0.0190075
5.3	0.0232152
5.32	0.0254667
5.34	0.0306785
5.36	0.0295995
5.38	0.0235322
5.4	0.0219168
5.42	0.0224768
